City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
129,Harper,LR,75.92,light rain,4.375,-7.7169,Screensaver
131,Portland,US,82.85,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
134,Hithadhoo,MV,82.26,overcast clouds,-0.6,73.0833,Scoop Guest House
139,Salalah,OM,79.83,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
141,San Ramon,US,84.07,clear sky,37.7799,-121.978,San Ramon Marriott
146,Fomboni,KM,76.62,few clouds,-12.28,43.7425,Auberge les abou
154,Kahului,US,81.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
161,Najran,SA,76.12,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
163,Naze,JP,75.43,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
165,Hirara,JP,83.35,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
168,Praia,CV,79.02,broken clouds,14.9215,-23.5087,LT Aparthotel
171,Buchanan,LR,77.02,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
174,Fallon,US,87.93,clear sky,39.4735,-118.7774,Best Western Fallon Inn & Suites
175,Vanimo,PG,78.49,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
179,Victoria,HK,85.32,few clouds,22.2855,114.1577,Mini Hotel Central
181,Talisay,PH,78.24,overcast clouds,10.2447,123.8494,RedDoorz near Talisay District Hospital
186,Villa Union,MX,88.92,overcast clouds,23.2,-106.2333,My Fantasy Auto-Hotel
187,Abu Kamal,SY,81.41,scattered clouds,34.4506,40.9171,محطة التلفاز
191,Dothan,US,83.08,overcast clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
200,Akyab,MM,78.66,overcast clouds,20.15,92.9,Hotel Memory
201,Buraydah,SA,83.3,clear sky,26.326,43.975,فندق راحة السلام
208,Bathsheba,BB,82.6,few clouds,13.2167,-59.5167,Atlantis Hotel
211,Sao Filipe,CV,78.69,scattered clouds,14.8961,-24.4956,Hotel Xaguate
213,Hasaki,JP,77.27,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
216,Grand-Santi,GF,75.67,light rain,4.25,-54.3833,Hotel La Villa Couacou
222,Safipur,IN,75.11,overcast clouds,26.7333,80.35,Dev Marrige Laan
223,Kati,ML,77.85,overcast clouds,12.7441,-8.0726,samassa la
225,Basco,PH,84.29,broken clouds,20.4487,121.9702,Nathaniel's Lodge
230,Turayf,SA,76.5,clear sky,31.6725,38.6637,Turaif
231,Pochutla,MX,86.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
235,Tarakan,ID,77.95,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
236,Honiara,SB,83.32,broken clouds,-9.4333,159.95,Heritage Park Hotel
238,Ponta Do Sol,PT,75.0,clear sky,32.6667,-17.1,Hotel do Campo
240,Ibra,OM,80.94,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
241,Saint-Georges,GD,81.99,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
245,Segou,ML,80.15,overcast clouds,13.4317,-6.2157,Comme chez soi
248,Axim,GH,76.15,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
252,Riyadh,SA,84.24,broken clouds,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
255,Broome,US,77.18,overcast clouds,42.2506,-75.833,Chenango Valley State Park
256,Cotonou,BJ,78.67,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
257,San Juan,AR,78.73,clear sky,-31.5375,-68.5364,Hotel Provincial
258,Bartica,GY,79.77,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
259,Padang,ID,76.89,overcast clouds,-0.9492,100.3543,Mercure Padang
261,Orocue,CO,85.71,few clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
263,Pemangkat,ID,77.07,overcast clouds,1.1667,108.9667,Ramah Kost KITA
269,Muli,MV,82.76,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
271,Itarema,BR,78.67,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
272,Karwar,IN,76.08,broken clouds,14.8,74.1333,Netalco Connects
276,Tautira,PF,77.05,scattered clouds,-17.7333,-149.15,Pension Oaoa
277,Carutapera,BR,76.32,few clouds,-1.195,-46.02,Lidera
279,Katsuura,JP,77.74,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
282,Coreau,BR,81.0,scattered clouds,-3.5333,-40.6567,LOJA E POUSADA CARCARÁ
289,Troy,US,85.32,clear sky,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
301,Dubuque,US,78.3,overcast clouds,42.4833,-90.8668,American Inn and Suites
303,Marsh Harbour,BS,84.02,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
304,Niquero,CU,85.95,overcast clouds,20.0431,-77.5828,Islazul Niquero
306,Port Moresby,PG,77.13,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
307,Neiafu,TO,78.15,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
314,Susanville,US,83.08,clear sky,40.4163,-120.653,Comfort Inn & Suites
315,Mabaruma,GY,75.33,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
317,Caucel,MX,89.91,overcast clouds,21.0167,-89.7167,RoselTec Casa
334,Det Udom,TH,75.09,overcast clouds,14.906,105.0784,Chatsuda Resort
336,Palomares,MX,83.62,overcast clouds,17.15,-95.0667,Hotel Monarca
337,Male,MV,82.27,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
338,Kazerun,IR,79.68,clear sky,29.6195,51.6541,آپارتمان بزرگ اویسا
339,Muscat,OM,88.27,clear sky,23.6139,58.5922,Mutrah Hotel
351,Hambantota,LK,79.3,overcast clouds,6.1241,81.1185,Bungalow 63
354,Wana,PK,76.14,clear sky,32.2989,69.5725,Rest House at Wana Camp
356,Chakwal,PK,80.02,clear sky,32.9334,72.8585,Uet Boys Hostel
357,Chanute,US,88.79,clear sky,37.6792,-95.4572,Guest House Motel Chanute
